customerid,churn,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,charges_monthly,charges_total,daily_charges,total_services_count
1767-tgtko,0,0,0,1,1,8,1,0,dsl,0,0,0,0,0,0,month-to-month,1,electronic_check,45.45,411.75,1.49,2
1768-hnvgj,0,0,1,0,0,45,1,1,dsl,1,0,0,1,0,1,month-to-month,1,electronic_check,70.05,3062.45,2.3,6
1768-zaifu,1,0,1,0,0,1,0,0,dsl,0,0,0,0,0,0,month-to-month,1,electronic_check,25.2,25.2,0.83,1
1769-gruik,0,0,0,0,0,18,1,0,fiber_optic,0,0,0,0,0,0,month-to-month,1,electronic_check,71.1,1247.75,2.34,2
1771-oadnz,1,1,1,1,0,29,1,1,fiber_optic,0,1,1,0,0,1,month-to-month,1,electronic_check,95.9,2745.2,3.15,6
1775-kwjkq,0,1,0,1,1,72,1,1,dsl,1,1,1,1,1,1,two_year,0,credit_card_automatic,89.85,6562.9,2.95,9
1776-spbwv,0,0,0,1,1,34,1,0,no,0,0,0,0,0,0,one_year,1,bank_transfer_automatic,20.1,682.1,0.66,1
1777-jyqpj,0,1,0,0,0,2,0,0,dsl,0,0,0,0,0,0,month-to-month,0,mailed_check,24.3,38.45,0.8,1
1779-pwpmg,0,0,1,1,0,72,1,1,fiber_optic,1,1,1,1,1,1,two_year,1,bank_transfer_automatic,114.65,8333.95,3.77,9
1784-bxefa,0,0,0,0,0,10,1,0,no,0,0,0,0,0,0,month-to-month,1,mailed_check,20.55,187.35,0.68,1
1784-ezdkj,0,1,0,1,0,51,1,1,fiber_optic,0,1,1,0,1,1,one_year,1,bank_transfer_automatic,106.8,5498.8,3.51,7
1785-bphtp,0,1,0,1,1,28,1,0,fiber_optic,0,0,1,0,1,0,month-to-month,0,electronic_check,85.45,2289.9,2.81,4
1790-nesio,0,0,0,0,0,13,1,0,no,0,0,0,0,0,0,two_year,1,mailed_check,20.4,261.3,0.67,1
1791-pqhbb,0,0,0,0,1,2,1,0,dsl,1,0,0,0,0,1,month-to-month,1,credit_card_automatic,61.2,125.95,2.01,4
1792-uxafy,1,0,1,0,0,17,1,0,fiber_optic,0,1,1,0,1,0,month-to-month,1,electronic_check,89.15,1496.9,2.93,5
1794-hbqtj,1,0,0,0,0,1,1,0,dsl,1,0,0,0,0,0,month-to-month,1,credit_card_automatic,48.6,48.6,1.6,3
1794-swwkl,0,1,0,1,1,15,1,1,dsl,0,0,1,1,0,0,month-to-month,1,bank_transfer_automatic,59.65,867.1,1.96,5
1796-janow,0,0,0,0,0,2,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed_check,19.95,38.15,0.66,1
1803-bgnbd,0,0,0,0,0,12,1,0,dsl,0,1,0,1,0,0,month-to-month,1,electronic_check,54.3,654.5,1.78,4
1809-dmjhq,1,0,0,0,1,5,1,0,dsl,0,0,0,0,0,0,month-to-month,0,mailed_check,46.0,221.7,1.51,2
1810-bohsy,0,1,0,1,0,51,1,1,fiber_optic,1,1,0,0,0,1,one_year,1,credit_card_automatic,96.4,4911.05,3.17,6
1810-mvmai,0,1,0,1,1,30,1,1,dsl,1,1,1,1,0,0,month-to-month,0,electronic_check,67.6,2000.2,2.22,7
1813-jlkwr,0,0,0,1,1,64,1,0,no,0,0,0,0,0,0,one_year,0,bank_transfer_automatic,19.8,1336.65,0.65,1
1813-jywto,0,0,0,1,0,72,1,1,fiber_optic,1,0,0,0,0,0,two_year,0,bank_transfer_automatic,80.45,5737.6,2.64,4
1814-dkolc,0,0,0,0,0,5,1,1,no,0,0,0,0,0,0,month-to-month,0,mailed_check,25.45,134.75,0.84,2
1814-wfgvs,0,1,0,1,1,72,0,0,dsl,1,0,1,1,1,0,two_year,0,mailed_check,48.9,3527.0,1.61,5
1816-flzdk,0,1,0,0,0,1,0,0,dsl,0,0,0,1,0,0,month-to-month,0,mailed_check,29.15,29.15,0.96,2
1818-esqmw,0,0,0,0,0,27,1,0,fiber_optic,0,0,1,1,0,1,month-to-month,1,electronic_check,89.2,2383.6,2.93,5
1820-djfph,0,0,0,1,1,72,1,1,no,0,0,0,0,0,0,two_year,1,bank_transfer_automatic,24.05,1709.15,0.79,2
1820-tqvev,1,1,0,0,0,1,1,0,fiber_optic,0,0,0,0,0,0,month-to-month,1,electronic_check,69.55,69.55,2.29,2
1821-bucwy,0,1,0,0,0,30,1,0,dsl,1,0,1,0,0,0,two_year,1,mailed_check,55.65,1653.85,1.83,4
1830-ggfnm,0,1,0,1,1,65,1,1,fiber_optic,1,1,1,1,0,0,two_year,0,credit_card_automatic,94.55,6078.75,3.11,7
1830-ipxvj,0,0,0,1,1,61,1,0,no,0,0,0,0,0,0,two_year,0,credit_card_automatic,19.75,1311.6,0.65,1
1832-peuts,0,1,0,1,1,62,1,1,fiber_optic,0,0,1,0,1,0,two_year,1,credit_card_automatic,89.1,5411.65,2.93,5
1833-tcxkk,0,1,0,1,0,45,1,1,fiber_optic,0,1,1,0,1,1,month-to-month,1,bank_transfer_automatic,107.75,4882.8,3.54,7
1833-vgrum,1,0,1,0,0,1,1,1,fiber_optic,0,0,0,0,0,0,month-to-month,1,electronic_check,74.2,74.2,2.44,3
1834-abkhq,0,0,0,1,1,52,1,0,dsl,0,0,1,0,0,0,one_year,1,bank_transfer_automatic,50.95,2610.65,1.67,3
1834-wuleg,0,1,0,1,1,24,1,0,no,0,0,0,0,0,0,one_year,0,mailed_check,20.25,439.75,0.67,1
1837-yquce,0,0,0,0,0,70,0,0,dsl,1,0,1,1,1,1,two_year,1,bank_transfer_automatic,58.35,4214.25,1.92,6
1839-fbnfr,0,0,0,1,1,39,1,0,no,0,0,0,0,0,0,two_year,1,bank_transfer_automatic,19.85,854.8,0.65,1
1839-umack,0,1,0,0,0,42,1,1,no,0,0,0,0,0,0,one_year,0,electronic_check,25.05,949.85,0.82,2
1840-biuog,0,1,0,0,0,20,1,1,dsl,0,1,0,1,1,0,one_year,1,electronic_check,68.7,1416.2,2.26,6
1841-ysjgv,0,1,0,1,0,72,1,1,fiber_optic,1,1,0,1,1,1,two_year,1,credit_card_automatic,109.95,7852.4,3.61,8
1842-ezjmk,1,1,0,1,1,50,1,1,fiber_optic,0,1,0,1,1,1,month-to-month,0,electronic_check,103.7,5071.05,3.41,7
1843-tlsgd,0,0,0,1,1,13,1,0,no,0,0,0,0,0,0,two_year,0,mailed_check,20.85,272.35,0.69,1
1845-csbrz,0,0,1,1,1,22,1,1,fiber_optic,0,0,0,0,1,0,month-to-month,0,bank_transfer_automatic,85.35,1961.6,2.8,4
1845-zllig,0,1,0,0,0,1,1,0,dsl,0,1,0,0,0,0,month-to-month,1,mailed_check,50.15,50.15,1.65,3
1846-xwoqn,1,0,1,0,0,1,1,0,fiber_optic,0,0,0,0,0,0,month-to-month,1,electronic_check,70.15,70.15,2.3,2
1848-lbzhy,0,0,0,1,0,7,1,0,dsl,1,0,0,0,0,0,month-to-month,1,bank_transfer_automatic,50.3,355.1,1.65,3
1849-rjyig,0,0,0,0,0,8,1,0,dsl,1,0,0,0,1,0,month-to-month,1,electronic_check,60.0,487.75,1.97,4
1850-akqep,0,1,0,0,1,8,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed_check,20.35,178.7,0.67,1
1852-qswcd,0,1,0,1,1,64,1,1,no,0,0,0,0,0,0,two_year,1,mailed_check,24.8,1514.85,0.81,2
1852-xemdw,0,1,0,0,0,22,1,1,dsl,1,1,1,0,0,0,month-to-month,0,mailed_check,65.05,1427.55,2.14,6
1853-araaq,0,0,0,0,0,26,0,0,dsl,0,0,1,0,1,1,month-to-month,1,credit_card_automatic,50.35,1277.5,1.65,4
1853-udxbw,1,1,0,1,1,1,1,0,fiber_optic,0,0,0,0,0,0,month-to-month,1,electronic_check,70.0,70.0,2.3,2
1855-agawh,0,1,0,1,0,31,1,0,fiber_optic,0,0,1,0,1,1,one_year,1,electronic_check,93.8,2939.8,3.08,5
1855-cfulu,0,0,1,0,0,4,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed_check,20.05,91.45,0.66,1
1862-qrwpe,0,0,0,1,1,48,1,0,no,0,0,0,0,0,0,two_year,0,bank_transfer_automatic,20.65,1057.0,0.68,1
1862-skory,1,0,1,1,0,40,0,0,dsl,0,1,0,0,1,0,month-to-month,1,electronic_check,39.3,1637.4,1.29,3
1866-dioqz,0,0,0,1,0,71,0,0,dsl,1,1,1,1,1,1,one_year,0,bank_transfer_automatic,66.8,4689.15,2.19,7
1866-nxpsp,0,0,0,0,0,36,1,0,dsl,1,1,1,1,0,1,one_year,1,mailed_check,75.55,2680.15,2.48,7
1866-obpnr,0,1,0,1,1,1,1,0,fiber_optic,0,1,0,0,0,0,month-to-month,0,credit_card_automatic,74.6,74.6,2.45,3
1866-rzzqs,1,1,1,0,0,41,1,1,fiber_optic,0,0,1,0,1,1,month-to-month,1,electronic_check,98.4,4187.75,3.23,6
1866-zsljm,0,1,0,0,0,21,1,0,no,0,0,0,0,0,0,month-to-month,0,credit_card_automatic,20.5,402.85,0.67,1
1867-bdvfh,1,1,0,1,1,11,1,1,fiber_optic,0,0,0,0,0,0,month-to-month,1,electronic_check,74.35,834.2,2.44,3
1867-tjhts,0,0,0,0,0,58,1,1,fiber_optic,1,0,0,0,0,0,month-to-month,1,bank_transfer_automatic,79.8,4526.85,2.62,4
1871-mowrm,1,1,0,1,0,12,1,0,fiber_optic,1,0,0,1,0,0,month-to-month,0,bank_transfer_automatic,80.85,866.45,2.66,4
1872-ebwsc,0,0,0,0,0,29,1,0,no,0,0,0,0,0,0,one_year,0,mailed_check,20.35,617.35,0.67,1
1875-qivme,1,0,0,1,0,2,1,1,fiber_optic,0,0,1,1,1,1,month-to-month,1,electronic_check,104.4,242.8,3.43,7
1877-hkbqx,0,0,0,0,0,11,1,0,dsl,1,0,0,1,0,0,one_year,1,mailed_check,54.6,617.85,1.79,4
1891-fzysa,1,1,1,1,0,69,1,1,fiber_optic,0,1,0,0,1,0,month-to-month,1,electronic_check,89.95,6143.15,2.96,5
1891-qrqsa,0,1,1,1,1,64,1,1,fiber_optic,1,0,1,1,1,1,two_year,1,bank_transfer_automatic,111.6,7099.0,3.67,8
1891-uawwu,1,0,1,1,0,20,1,1,fiber_optic,0,0,1,0,1,0,month-to-month,0,electronic_check,90.8,1951.0,2.98,5
1894-igfsg,1,0,0,0,0,22,1,0,fiber_optic,0,0,0,0,1,1,month-to-month,0,electronic_check,89.25,1907.85,2.93,4
1895-qtkdo,0,0,0,0,0,1,1,0,dsl,0,0,0,0,0,0,month-to-month,0,credit_card_automatic,43.95,43.95,1.44,2
1897-okvmw,0,0,0,1,1,64,1,1,dsl,1,1,1,1,1,1,two_year,1,mailed_check,90.6,5817.45,2.98,9
1897-rcfum,0,0,0,1,1,39,1,1,no,0,0,0,0,0,0,one_year,1,mailed_check,24.2,914.6,0.8,2
1898-jsndc,0,0,0,0,0,39,1,0,dsl,0,1,0,0,1,0,one_year,1,credit_card_automatic,58.6,2224.5,1.93,4
1899-vxwxm,1,1,0,0,0,48,1,1,fiber_optic,0,1,1,0,1,1,one_year,1,credit_card_automatic,106.1,5082.8,3.49,7
1902-xbtfb,1,1,0,0,1,22,1,0,fiber_optic,0,1,1,0,1,0,month-to-month,1,electronic_check,89.4,2001.5,2.94,5
1904-wajaa,0,0,0,1,1,24,1,1,dsl,1,1,1,0,0,0,two_year,0,electronic_check,64.35,1558.65,2.11,6
1905-oeilc,0,0,0,0,0,1,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed_check,19.5,19.5,0.64,1
1907-ubqfc,1,1,1,0,0,10,1,0,fiber_optic,0,1,0,0,0,0,month-to-month,1,electronic_check,72.85,688.65,2.39,3
1907-ylnyw,0,1,0,0,0,8,1,0,dsl,1,0,1,0,0,1,month-to-month,1,electronic_check,66.7,579.0,2.19,5
1910-fmxjm,0,0,0,1,0,36,1,0,fiber_optic,0,0,0,0,0,1,month-to-month,0,electronic_check,80.4,2937.65,2.64,3
1915-iofgu,1,0,0,0,0,1,1,0,fiber_optic,0,0,0,0,0,0,month-to-month,0,electronic_check,70.5,70.5,2.32,2
1915-oakwd,0,0,0,0,1,16,1,0,no,0,0,0,0,0,0,one_year,1,bank_transfer_automatic,19.3,360.35,0.63,1
1918-zbfqj,1,0,0,0,0,13,1,0,fiber_optic,0,1,1,0,0,0,month-to-month,1,electronic_check,79.25,1111.65,2.6,4
1919-rtpqd,0,1,0,1,1,7,1,0,dsl,0,0,0,0,0,0,month-to-month,0,electronic_check,44.75,333.65,1.47,2
1921-kysay,0,0,0,0,0,41,1,1,dsl,0,0,1,1,0,1,one_year,1,electronic_check,68.6,2877.05,2.25,6
1925-gmvbw,0,0,0,0,0,5,1,0,no,0,0,0,0,0,0,month-to-month,0,credit_card_automatic,20.55,96.1,0.68,1
1925-lfczz,0,1,1,0,0,55,0,0,dsl,0,0,1,0,1,1,one_year,1,bank_transfer_automatic,50.05,2743.45,1.64,4
1925-tible,1,0,0,1,0,7,1,1,fiber_optic,0,0,0,0,1,0,month-to-month,1,electronic_check,86.5,582.5,2.84,4
1926-quznn,0,0,0,1,0,72,1,1,no,0,0,0,0,0,0,two_year,1,bank_transfer_automatic,25.25,1841.2,0.83,2
1927-qewmy,0,0,0,1,0,72,1,0,no,0,0,0,0,0,0,two_year,0,credit_card_automatic,20.5,1502.25,0.67,1
1928-bxyiv,0,1,0,0,0,1,1,1,dsl,1,1,0,0,0,0,month-to-month,0,electronic_check,61.15,61.15,2.01,5
1929-zcbhe,0,1,0,1,1,47,0,0,dsl,1,0,1,1,0,0,one_year,0,electronic_check,40.3,1794.8,1.32,4
1930-bzlhi,0,1,0,0,0,21,1,0,no,0,0,0,0,0,0,one_year,1,mailed_check,20.35,422.7,0.67,1
1930-qpbvz,0,1,0,1,1,68,1,0,fiber_optic,1,1,0,1,0,1,two_year,0,bank_transfer_automatic,95.1,6683.4,3.12,6
1930-wnxsb,0,1,0,1,1,58,1,0,fiber_optic,0,1,0,0,1,1,month-to-month,1,electronic_check,92.85,5305.05,3.05,5
1932-uedcx,0,1,1,1,0,33,1,1,fiber_optic,0,1,0,0,1,1,month-to-month,1,bank_transfer_automatic,100.6,3270.25,3.31,6
1934-mkpxs,0,1,0,1,1,33,1,0,no,0,0,0,0,0,0,one_year,0,credit_card_automatic,20.1,620.55,0.66,1
1934-sjvjk,1,1,0,0,0,1,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed_check,20.15,20.15,0.66,1
1935-imvbb,0,1,0,1,0,56,1,0,fiber_optic,0,0,0,0,1,1,month-to-month,0,mailed_check,89.7,4952.95,2.95,4
1936-czakf,0,1,0,1,0,49,0,0,dsl,0,1,0,0,1,1,two_year,0,credit_card_automatic,49.65,2409.9,1.63,4
1936-uafeh,0,0,0,0,0,68,1,1,fiber_optic,1,1,0,1,1,1,two_year,0,credit_card_automatic,110.25,7279.35,3.62,8
1937-otuky,0,0,0,1,0,72,1,1,fiber_optic,1,0,1,1,1,0,two_year,1,bank_transfer_automatic,98.2,7015.9,3.23,7
1941-hosam,0,1,0,1,1,1,1,0,fiber_optic,0,0,0,0,1,1,month-to-month,1,electronic_check,90.1,90.1,2.96,4
1942-oqfrw,0,1,0,0,0,1,1,0,dsl,0,0,0,0,0,0,month-to-month,0,electronic_check,44.0,44.0,1.45,2
1945-xisks,0,0,0,1,0,67,1,0,no,0,0,0,0,0,0,two_year,0,mailed_check,19.65,1335.2,0.65,1
1950-ksvvj,0,0,0,1,0,45,1,1,fiber_optic,1,1,1,1,1,1,one_year,0,mailed_check,113.3,5032.25,3.72,9
1951-ieyxm,0,1,0,1,1,72,1,1,dsl,1,1,1,1,1,1,two_year,1,credit_card_automatic,90.6,6441.85,2.98,9
1952-dvvsw,0,0,0,1,0,10,1,0,no,0,0,0,0,0,0,one_year,0,mailed_check,20.1,184.4,0.66,1
1955-ibmmb,0,1,0,0,0,59,1,0,no,0,0,0,0,0,0,two_year,1,bank_transfer_automatic,20.2,1192.3,0.66,1
1956-yifge,0,1,0,1,1,22,1,0,fiber_optic,0,1,1,0,1,1,one_year,1,mailed_check,100.05,2090.25,3.29,6
1958-rnrks,0,1,0,1,0,30,1,1,dsl,0,0,0,0,0,0,month-to-month,0,electronic_check,49.9,1441.95,1.64,3
1960-uotym,0,1,0,1,1,52,1,0,dsl,1,1,1,0,1,1,two_year,0,electronic_check,79.2,4016.3,2.6,7
1960-uycnn,0,1,0,0,0,10,1,1,fiber_optic,0,1,1,0,0,1,month-to-month,1,electronic_check,95.25,1021.55,3.13,6
1963-svucv,1,1,0,0,0,1,1,0,dsl,0,0,0,0,0,0,month-to-month,0,electronic_check,45.3,45.3,1.49,2
1963-vaukv,1,0,0,0,0,1,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed_check,20.4,20.4,0.67,1
1964-svlea,0,1,0,0,0,20,1,0,no,0,0,0,0,0,0,one_year,1,mailed_check,19.7,415.9,0.65,1
1965-aktsx,1,0,1,0,0,14,1,1,fiber_optic,0,1,0,0,0,0,month-to-month,1,electronic_check,78.95,1101.85,2.59,4
1965-ddbwu,1,1,0,0,0,16,1,1,fiber_optic,0,0,0,1,0,1,month-to-month,1,credit_card_automatic,89.05,1448.6,2.93,5
1970-kkfwl,0,0,0,0,0,35,1,1,no,0,0,0,0,0,0,two_year,0,bank_transfer_automatic,23.3,797.1,0.77,2
1971-dtczb,0,0,0,1,0,72,1,1,dsl,1,1,1,1,1,1,two_year,1,bank_transfer_automatic,90.95,6468.6,2.99,9
1972-xmuwv,0,0,0,1,0,65,1,0,dsl,0,0,0,1,1,0,two_year,1,credit_card_automatic,59.8,3808.2,1.96,4
1976-azzpj,0,1,0,1,0,7,0,0,dsl,1,1,0,0,0,0,month-to-month,0,mailed_check,34.2,256.6,1.12,3
1976-cfocs,1,0,1,1,0,1,1,0,dsl,0,0,0,0,0,0,month-to-month,0,electronic_check,46.0,46.0,1.51,2
1977-stdki,1,0,1,0,0,1,1,0,fiber_optic,0,1,0,0,0,0,month-to-month,1,electronic_check,73.0,73.0,2.4,3
1980-kxvpm,1,0,1,0,0,3,1,1,fiber_optic,0,0,0,0,0,0,month-to-month,1,credit_card_automatic,75.05,256.25,2.47,3
1981-inrfu,1,0,0,0,0,2,1,0,fiber_optic,0,0,0,0,1,0,month-to-month,1,electronic_check,79.75,164.5,2.62,3
1982-febtd,0,0,0,1,1,23,1,1,no,0,0,0,0,0,0,two_year,1,credit_card_automatic,25.6,514.75,0.84,2
1984-fcowb,1,0,0,1,0,70,1,1,fiber_optic,0,1,1,1,1,1,one_year,1,electronic_check,109.5,7674.55,3.6,8
1984-gpteh,0,0,0,0,0,29,1,1,no,0,0,0,0,0,0,month-to-month,0,electronic_check,25.15,702.0,0.83,2
1985-mbryp,0,0,0,0,0,43,1,0,no,0,0,0,0,0,0,two_year,1,bank_transfer_automatic,19.65,779.25,0.65,1
1986-phgzf,0,1,1,0,0,18,1,1,dsl,1,1,0,0,0,0,month-to-month,1,credit_card_automatic,58.4,964.9,1.92,5
1987-auelq,0,0,0,1,0,71,1,1,no,0,0,0,0,0,0,two_year,0,credit_card_automatic,25.05,1873.7,0.82,2
1989-prjhp,1,1,1,1,0,27,1,1,fiber_optic,0,0,0,0,0,0,month-to-month,1,electronic_check,75.5,1893.95,2.48,3
1991-vopll,0,0,0,0,0,9,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed_check,19.05,157.65,0.63,1
1996-dbmus,0,0,1,1,0,48,1,0,fiber_optic,0,0,0,0,0,0,month-to-month,1,bank_transfer_automatic,70.65,3545.05,2.32,2
1998-vhjhk,0,0,0,0,0,27,1,0,no,0,0,0,0,0,0,one_year,0,mailed_check,19.15,501.35,0.63,1
2000-dhjuy,0,0,1,1,0,70,1,1,dsl,1,1,1,1,1,1,two_year,1,bank_transfer_automatic,92.2,6474.45,3.03,9
2000-mpkca,0,0,0,0,0,58,1,1,fiber_optic,1,1,1,0,1,1,one_year,1,electronic_check,107.75,6332.75,3.54,8
2001-ewbqu,0,0,0,0,0,60,1,1,fiber_optic,0,1,1,0,1,1,two_year,0,electronic_check,104.7,6333.8,3.44,7
2001-mcuuw,0,1,0,0,0,46,1,1,fiber_optic,0,1,1,1,1,1,two_year,0,electronic_check,108.65,4903.2,3.57,8
2002-mzhwp,1,0,0,0,0,1,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed_check,20.5,20.5,0.67,1
2003-cklor,1,1,0,0,0,66,1,0,fiber_optic,0,1,1,0,1,1,month-to-month,0,electronic_check,99.5,6710.5,3.27,6
2004-ocqxk,1,0,0,0,0,1,1,0,fiber_optic,0,0,0,0,0,1,month-to-month,1,electronic_check,81.95,81.95,2.69,3
2005-dwqzj,0,0,0,1,1,8,1,0,no,0,0,0,0,0,0,two_year,0,mailed_check,19.05,201.7,0.63,1
2007-qvgaw,0,0,0,1,1,68,1,0,no,0,0,0,0,0,0,two_year,1,bank_transfer_automatic,19.35,1292.65,0.64,1
2011-trqye,1,1,0,0,0,18,0,0,dsl,0,1,1,0,0,0,month-to-month,1,credit_card_automatic,33.5,600.0,1.1,3
2012-nwrpa,1,0,1,1,0,11,1,1,fiber_optic,0,0,1,0,1,1,month-to-month,1,electronic_check,99.55,1131.2,3.27,6
2013-sgdxk,1,0,0,0,0,1,1,0,fiber_optic,0,1,0,0,1,0,month-to-month,0,electronic_check,84.3,84.3,2.77,4
2014-mkgmh,0,0,0,0,0,46,1,1,fiber_optic,0,0,1,0,1,1,one_year,1,electronic_check,101.1,4674.4,3.32,6
2017-ccblh,0,0,0,0,0,8,1,0,no,0,0,0,0,0,0,two_year,0,mailed_check,20.0,141.6,0.66,1
2018-pzkmu,0,1,0,1,1,9,1,0,fiber_optic,0,0,1,1,1,1,month-to-month,0,electronic_check,103.1,970.45,3.39,6
2018-qkygt,0,1,0,1,1,1,1,0,fiber_optic,0,0,0,0,0,1,month-to-month,1,electronic_check,81.05,81.05,2.66,3
2019-hdczy,0,1,0,1,0,63,1,1,fiber_optic,0,0,1,0,1,1,two_year,0,electronic_check,102.6,6296.75,3.37,6
2023-vqfdl,0,1,0,0,0,18,1,0,no,0,0,0,0,0,0,month-to-month,0,electronic_check,19.0,348.8,0.62,1
2024-baskd,1,0,0,0,0,1,1,0,fiber_optic,0,0,1,0,0,0,month-to-month,1,mailed_check,74.6,74.6,2.45,3
2025-jkfwi,1,1,0,0,0,13,1,1,fiber_optic,0,0,0,1,1,1,month-to-month,1,mailed_check,99.0,1301.7,3.25,6
2026-tgdhm,1,0,0,0,0,7,1,0,fiber_optic,0,0,0,0,0,1,month-to-month,1,electronic_check,79.3,523.15,2.61,3
2027-cwdnu,0,1,0,1,1,18,1,0,fiber_optic,0,0,0,1,0,1,month-to-month,1,electronic_check,85.6,1601.5,2.81,4
2027-dnkiv,0,1,0,1,1,37,1,0,dsl,1,0,1,1,0,0,one_year,1,mailed_check,58.75,2203.1,1.93,5
2027-feczv,1,1,0,0,0,12,1,1,fiber_optic,0,1,1,0,1,1,month-to-month,1,electronic_check,106.7,1253.9,3.51,7
2027-oaqqc,1,0,0,0,0,43,0,0,dsl,0,0,1,0,1,1,month-to-month,1,bank_transfer_automatic,49.05,2076.2,1.61,4
2027-wkxmw,0,0,0,1,0,63,1,1,fiber_optic,0,1,1,1,1,1,month-to-month,1,electronic_check,108.75,6871.7,3.57,8
2030-btzro,0,1,0,1,1,6,1,0,no,0,0,0,0,0,0,two_year,1,credit_card_automatic,20.4,107.6,0.67,1
2034-cgrhz,1,1,1,0,0,24,1,1,fiber_optic,0,1,1,0,1,1,month-to-month,1,credit_card_automatic,102.95,2496.7,3.38,7
2034-gdrcn,1,0,0,0,0,2,1,0,fiber_optic,0,0,0,0,1,1,month-to-month,1,electronic_check,90.4,168.2,2.97,4
2037-sgxhh,1,1,0,1,1,38,1,1,fiber_optic,0,1,1,0,1,0,month-to-month,1,electronic_check,94.65,3624.3,3.11,6
2037-xjfup,1,1,0,1,0,33,1,0,fiber_optic,0,0,1,0,1,1,one_year,1,electronic_check,95.8,3036.75,3.15,5
2038-llmlm,0,0,0,0,0,48,1,1,fiber_optic,0,0,1,1,1,1,month-to-month,1,electronic_check,103.85,4946.05,3.41,7
2038-oeqzh,0,1,0,0,0,4,1,0,fiber_optic,0,0,1,0,0,1,month-to-month,0,electronic_check,86.05,308.1,2.83,4
2038-yseze,0,0,0,0,0,29,1,1,dsl,1,1,0,1,0,0,month-to-month,0,mailed_check,67.45,1801.1,2.22,6
2039-jondj,0,1,0,0,0,27,1,0,dsl,1,1,0,0,0,0,one_year,0,bank_transfer_automatic,55.45,1477.65,1.82,4
2040-ldiwq,0,1,0,1,1,65,1,1,dsl,0,1,1,1,1,1,two_year,1,bank_transfer_automatic,84.2,5324.5,2.77,8
2040-obmlj,0,1,0,0,0,31,1,1,fiber_optic,0,0,0,1,0,0,one_year,0,credit_card_automatic,81.7,2548.65,2.68,4
2040-vzike,0,0,0,1,0,49,1,1,fiber_optic,1,0,0,0,1,1,month-to-month,1,mailed_check,100.85,4847.35,3.31,6
2040-xbavj,0,1,0,1,1,72,1,1,fiber_optic,1,1,1,1,1,1,two_year,0,bank_transfer_automatic,114.45,8100.55,3.76,9
2041-jijci,0,0,0,0,0,5,1,1,dsl,0,1,0,0,0,1,month-to-month,1,electronic_check,64.0,370.25,2.1,5
2043-wvtqj,0,1,0,1,0,1,1,0,dsl,1,0,1,0,0,0,month-to-month,0,mailed_check,55.7,55.7,1.83,4
2045-bmbtj,0,0,1,0,0,33,0,0,dsl,1,1,1,0,1,1,month-to-month,1,bank_transfer_automatic,59.45,1884.65,1.95,6
2049-bafnw,0,0,0,0,0,1,0,0,dsl,0,0,1,1,0,0,month-to-month,0,mailed_check,35.9,35.9,1.18,3
2050-onydq,0,0,0,1,1,65,1,1,no,0,0,0,0,0,0,two_year,0,credit_card_automatic,26.0,1654.85,0.85,2
2054-pjock,0,0,0,0,0,60,1,1,dsl,0,0,1,1,1,1,one_year,0,credit_card_automatic,80.55,4847.05,2.65,7
2055-bfocc,0,1,1,1,0,63,1,0,dsl,1,1,1,1,1,1,one_year,1,bank_transfer_automatic,84.0,5329.55,2.76,8
2055-pdadh,1,0,1,0,0,3,1,0,fiber_optic,0,0,0,0,0,0,month-to-month,1,electronic_check,70.4,204.7,2.31,2
2055-sifss,0,0,1,1,0,55,1,1,dsl,0,0,0,0,0,0,month-to-month,0,bank_transfer_automatic,51.65,2838.55,1.7,3
2056-evgzl,0,1,0,1,1,68,1,0,fiber_optic,0,1,1,1,1,1,one_year,0,credit_card_automatic,105.75,7322.5,3.47,7
2057-boykm,0,0,1,1,0,72,1,1,fiber_optic,1,1,1,1,0,0,two_year,1,bank_transfer_automatic,96.6,6827.5,3.17,7
2057-zblpd,1,0,0,1,0,21,1,1,fiber_optic,0,0,0,0,0,1,month-to-month,1,electronic_check,86.5,1808.7,2.84,4
2058-dcjbe,1,1,0,0,0,5,1,0,fiber_optic,0,0,0,0,0,0,month-to-month,1,electronic_check,69.75,324.6,2.29,2
2061-vvfst,0,0,0,1,0,37,1,0,no,0,0,0,0,0,0,month-to-month,0,bank_transfer_automatic,19.5,805.2,0.64,1
2065-mmkgr,0,0,0,0,0,29,1,1,dsl,0,0,0,0,1,1,one_year,1,credit_card_automatic,71.0,2080.1,2.33,5
2067-qytcf,0,0,0,1,0,64,1,1,fiber_optic,0,1,1,1,1,1,month-to-month,1,electronic_check,111.15,6953.4,3.65,8
2068-wwxqz,0,1,0,0,0,46,1,0,no,0,0,0,0,0,0,two_year,0,bank_transfer_automatic,20.05,902.0,0.66,1
